order_id,product_id,quantity,unit_price_brl,order_timestamp,customer_email,status
ORD202401291000,PROD_J,2,140.28,2024-01-29T15:16:02Z,cliente22@email.com,completed
ORD202401291001,PROD_F,5,93.78,2024-01-29T19:20:15Z,cliente788@email.com,completed
ORD202401291002,PROD_G,7,100.26,2024-01-29T22:41:57Z,cliente542@email.com,completed
ORD202401291003,PROD_H,4,128.16,2024-01-29T06:22:52Z,cliente987@email.com,completed
ORD202401291004,PROD_I,12,134.98,2024-01-29T21:01:23Z,cliente754@email.com,completed
ORD202401291005,PROD_B,5,29.81,2024-01-29T23:15:35Z,cliente135@email.com,completed
ORD202401291006,PROD_G,2,108.76,2024-01-29T04:57:10Z,cliente270@email.com,completed
ORD202401291007,PROD_A,9,14.18,2024-01-29T00:50:18Z,cliente190@email.com,completed
ORD202401291008,PROD_A,7,16.89,2024-01-29T06:11:36Z,cliente479@email.com,completed
ORD202401291009,PROD_A,6,14.54,2024-01-29T10:21:32Z,cliente340@email.com,completed
ORD202401291010,PROD_F,19,86.01,2024-01-29T21:55:57Z,cliente942@email.com,completed
ORD202401291011,PROD_E,15,75.92,2024-01-29T20:51:02Z,cliente645@email.com,completed
ORD202401291012,PROD_I,2,141.90,2024-01-29T11:29:52Z,cliente237@email.com,completed
ORD202401291013,PROD_E,18,81.29,2024-01-29T02:29:05Z,cliente988@email.com,completed
ORD202401291014,PROD_F,11,95.78,2024-01-29T09:26:38Z,cliente786@email.com,completed
ORD202401291015,PROD_D,15,64.60,2024-01-29T07:37:58Z,cliente873@email.com,completed
ORD202401291016,PROD_J,11,152.04,2024-01-29T06:54:42Z,cliente556@email.com,completed
ORD202401291017,PROD_D,9,63.64,2024-01-29T21:30:31Z,cliente538@email.com,completed
ORD202401291018,PROD_G,10,111.26,2024-01-29T06:06:34Z,cliente605@email.com,completed
ORD202401291019,PROD_D,3,59.63,2024-01-29T02:27:15Z,cliente807@email.com,completed
ORD202401291020,PROD_C,10,49.78,2024-01-29T13:26:28Z,cliente879@email.com,completed
ORD202401291021,PROD_I,20,126.79,2024-01-29T21:05:04Z,cliente172@email.com,completed
ORD202401291022,PROD_G,7,112.77,2024-01-29T10:52:38Z,cliente761@email.com,pending
ORD202401291023,PROD_C,11,42.10,2024-01-29T17:26:36Z,cliente99@email.com,completed
ORD202401291024,PROD_C,-5,46.66,2024-01-29T00:15:13Z,cliente717@email.com,completed
ORD202401291025,PROD_C,8,43.28,2024-01-29T15:05:24Z,cliente541@email.com,completed
ORD202401291026,PROD_C,13,45.00,2024-01-29T04:41:36Z,cliente841@email.com,canceled
ORD202401291027,PROD_J,20,165.77,2024-01-29T01:43:39Z,cliente269@email.com,completed
