order_id,product_id,quantity,unit_price_brl,order_timestamp,customer_email,status
ORD202401011000,PROD_H,6,114.20,2024-01-01T20:06:05Z,cliente174@email.com,completed
ORD202401011001,PROD_D,14,67.09,2024-01-01T03:26:35Z,cliente819@email.com,canceled
ORD202401011002,PROD_C,10,42.34,2024-01-01T08:13:00Z,cliente925@email.com,completed
ORD202401011003,PROD_B,13,27.99,2024-01-01T08:27:52Z,cliente503@email.com,completed
ORD202401011004,PROD_D,3,60.58,2024-01-01T18:52:47Z,cliente491@email.com,completed
ORD202401011005,PROD_I,10,141.19,2024-01-01T16:53:10Z,cliente960@email.com,completed
ORD202401011006,PROD_C,1,49.26,2024-01-01T11:56:40Z,cliente836@email.com,completed
ORD202401011007,PROD_H,1,131.12,2024-01-01T11:38:47Z,cliente375@email.com,completed
ORD202401011008,PROD_A,2,14.88,2024-01-01T22:45:22Z,cliente695@email.com,completed
ORD202401011009,PROD_A,10,14.55,2024-01-01T05:14:23Z,cliente276@email.com,pending
ORD202401011010,PROD_J,19,162.38,2024-01-01T11:54:12Z,cliente324@email.com,completed
ORD202401011011,PROD_E,8,76.94,2024-01-01T08:50:04Z,cliente407@email.com,completed
ORD202401011012,PROD_A,1,14.67,2024-01-01T10:48:51Z,cliente506@email.com,completed
ORD202401011013,PROD_E,5,74.32,2024-01-01T21:27:40Z,cliente904@email.com,completed
ORD202401011014,PROD_C,12,45.50,2024-01-01T05:28:42Z,cliente285@email.com,completed
ORD202401011015,PROD_D,10,58.20,2024-01-01T11:31:21Z,cliente833@email.com,completed
ORD202401011016,PROD_F,11,89.26,2024-01-01T03:39:38Z,cliente597@email.com,canceled
ORD202401011017,PROD_G,5,100.08,2024-01-01T06:33:02Z,cliente37@email.com,completed
ORD202401011018,PROD_C,5,50.93,2024-01-01T23:47:05Z,cliente277@email.com,completed
ORD202401011019,PROD_J,12,142.81,2024-01-01T23:28:02Z,cliente805@email.com,completed
ORD202401011020,PROD_E,2,82.07,2024-01-01T12:23:27Z,cliente880@email.com,shipped
ORD202401011021,PROD_A,4,16.74,2024-01-01T16:07:01Z,cliente33@email.com,completed
ORD202401011022,PROD_B,19,31.39,2024-01-01T15:04:19Z,cliente46@email.com,completed
ORD202401011023,PROD_I,20,144.92,2024-01-01T16:31:12Z,cliente509@email.com,completed
ORD202401011024,PROD_J,15,151.29,2024-01-01T05:44:07Z,cliente688@email.com,completed
ORD202401011025,PROD_H,4,126.07,2024-01-01T15:46:24Z,cliente370@email.com,shipped
ORD202401011026,PROD_E,19,84.48,2024-01-01T19:22:49Z,cliente430@email.com,completed
ORD202401011027,PROD_B,15,29.49,2024-01-01T06:09:59Z,cliente821@email.com,completed
ORD202401011028,PROD_H,5,128.56,2024-01-01T19:34:39Z,cliente463@email.com,completed
ORD202401011029,PROD_D,8,65.02,2024-01-01T22:46:06Z,cliente755@email.com,completed
ORD202401011030,PROD_F,18,99.57,2024-01-01T02:32:15Z,cliente83@email.com,completed
ORD202401011031,PROD_I,12,142.97,2024-01-01T06:34:32Z,cliente893@email.com,completed
ORD202401011032,PROD_E,15,75.02,2024-01-01T14:33:16Z,cliente22@email.com,completed
ORD202401011033,PROD_D,4,67.91,2024-01-01T13:25:44Z,cliente260@email.com,completed
ORD202401011034,PROD_F,10,94.52,2024-01-01T04:30:13Z,cliente7@email.com,completed
ORD202401011035,PROD_C,11,,2024-01-01T07:42:17Z,cliente502@email.com,completed
ORD202401011036,PROD_C,15,47.04,2024-01-01T21:02:54Z,cliente857@email.com,completed
ORD202401011037,PROD_F,20,100.02,2024-01-01T11:48:03Z,cliente98@email.com,completed
ORD202401011038,PROD_D,18,63.33,2024-01-01T00:01:19Z,cliente80@email.com,completed
ORD202401011039,PROD_G,15,109.41,2024-01-01T11:04:17Z,cliente565@email.com,pending
ORD202401011040,PROD_E,9,81.86,2024-01-01T12:09:09Z,cliente919@email.com,completed
ORD202401011041,PROD_B,5,29.00,2024-01-01T11:25:55Z,cliente528@email.com,completed
ORD202401011042,PROD_C,20,47.27,2024-01-01T18:16:07Z,cliente261@email.com,completed
ORD202401011043,PROD_I,12,136.91,2024-01-01T17:18:23Z,cliente402@email.com,completed
ORD202401011044,PROD_F,3,86.49,2024-01-01T16:48:19Z,cliente703@email.com,completed
ORD202401011045,PROD_E,14,81.71,2024-01-01T04:17:42Z,cliente11@email.com,completed
ORD202401011046,PROD_F,19,84.81,2024-01-01T22:40:51Z,cliente150@email.com,completed
ORD202401011047,PROD_J,17,162.82,2024-01-01T20:10:46Z,cliente270@email.com,completed
ORD202401011048,PROD_I,20,144.93,2024-01-01T00:26:05Z,cliente112@email.com,completed
ORD202401011049,PROD_A,5,14.99,2024-01-01T02:09:55Z,cliente929@email.com,completed
ORD202401011050,PROD_H,14,121.54,2024-01-01T22:21:07Z,cliente364@email.com,pending
ORD202401011051,PROD_I,3,142.70,2024-01-01T15:26:51Z,cliente770@email.com,completed
ORD202401011052,PROD_D,13,60.98,2024-01-01T14:59:49Z,cliente789@email.com,completed
